datetimeobject,variable,value
2020-06-14,9d,885.0
2020-06-15,9d,885.0
2020-06-16,9d,885.0
2020-06-17,9d,885.0
2020-06-18,9d,772.0
2020-06-19,9d,767.0
2020-06-20,9d,729.0
2020-06-21,9d,704.0
2020-06-22,9d,704.0
2020-06-23,9d,708.0
2020-06-24,9d,724.0
2020-06-25,9d,724.0
2020-06-26,9d,708.0
2020-06-27,9d,708.0
2020-06-28,9d,708.0
2020-06-29,9d,708.0
2020-06-30,9d,708.0
2020-07-01,9d,708.0
2020-07-02,9d,701.0
2020-07-03,9d,697.0
2020-07-04,9d,636.0
2020-07-05,9d,597.0
2020-07-06,9d,597.0
2020-07-07,9d,697.0
2020-07-08,9d,701.0
2020-07-09,9d,867.0
2020-07-10,9d,867.0
2020-07-11,9d,867.0
2020-07-12,9d,867.0
2020-07-13,9d,867.0
2020-07-14,9d,867.0
2020-07-15,9d,867.0
2020-07-16,9d,867.0
2020-07-17,9d,867.0
2020-07-18,9d,872.0
2020-07-19,9d,872.0
2020-07-20,9d,872.0
2020-07-21,9d,951.0
2020-07-22,9d,974.0
2020-07-23,9d,1038.0
2020-07-24,9d,1039.0
2020-07-25,9d,1039.0
2020-07-26,9d,1039.0
2020-07-27,9d,1059.0
2020-01-22,10d,
2020-01-23,10d,
2020-01-24,10d,
2020-01-25,10d,
2020-01-26,10d,
2020-01-27,10d,
2020-01-28,10d,
2020-01-29,10d,
2020-01-30,10d,
2020-01-31,10d,0.0
2020-02-01,10d,0.0
2020-02-02,10d,0.0
2020-02-03,10d,0.0
2020-02-04,10d,0.0
2020-02-05,10d,0.0
2020-02-06,10d,0.0
2020-02-07,10d,0.0
2020-02-08,10d,0.0
2020-02-09,10d,0.0
2020-02-10,10d,0.0
2020-02-11,10d,0.0
2020-02-12,10d,0.0
2020-02-13,10d,0.0
2020-02-14,10d,0.0
2020-02-15,10d,0.0
2020-02-16,10d,0.0
2020-02-17,10d,0.0
2020-02-18,10d,0.0
2020-02-19,10d,0.0
2020-02-20,10d,0.0
2020-02-21,10d,0.0
2020-02-22,10d,0.0
2020-02-23,10d,0.0
2020-02-24,10d,0.0
2020-02-25,10d,0.0
2020-02-26,10d,0.0
2020-02-27,10d,0.0
2020-02-28,10d,0.0
2020-02-29,10d,0.75
2020-03-01,10d,1.75
2020-03-02,10d,2.0
2020-03-03,10d,2.75
2020-03-04,10d,2.75
2020-03-05,10d,3.0
2020-03-06,10d,3.0
2020-03-07,10d,3.0
2020-03-08,10d,3.75
2020-03-09,10d,4.0
2020-03-10,10d,4.0
2020-03-11,10d,4.0
2020-03-12,10d,5.5
2020-03-13,10d,5.5
2020-03-14,10d,6.0
2020-03-15,10d,7.5
2020-03-16,10d,8.75
2020-03-17,10d,13.5
2020-03-18,10d,19.5
2020-03-19,10d,21.75
2020-03-20,10d,28.75
2020-03-21,10d,42.25
2020-03-22,10d,57.25
2020-03-23,10d,66.25
2020-03-24,10d,89.75
2020-03-25,10d,131.5
2020-03-26,10d,209.0
2020-03-27,10d,231.75
2020-03-28,10d,291.25
2020-03-29,10d,378.5
2020-03-30,10d,487.25
2020-03-31,10d,518.25
2020-04-01,10d,562.5
2020-04-02,10d,790.0
2020-04-03,10d,956.25
2020-04-04,10d,1108.75
2020-04-05,10d,1231.5
2020-04-06,10d,1257.75
2020-04-07,10d,1278.5
2020-04-08,10d,1401.25
2020-04-09,10d,1818.0
2020-04-10,10d,1953.0
2020-04-11,10d,1968.0
2020-04-12,10d,1968.0
2020-04-13,10d,1968.0
2020-04-14,10d,1979.5
2020-04-15,10d,2036.75
2020-04-16,10d,2119.5
2020-04-17,10d,2125.0
2020-04-18,10d,2125.0
2020-04-19,10d,2125.0
2020-04-20,10d,2125.0
2020-04-21,10d,2250.5
2020-04-22,10d,2250.5
2020-04-23,10d,2250.5
2020-04-24,10d,2125.0
2020-04-25,10d,2074.0
2020-04-26,10d,2015.0
2020-04-27,10d,1858.0
2020-04-28,10d,1997.75
2020-04-29,10d,2059.25
2020-04-30,10d,2104.0
2020-05-01,10d,2059.25
2020-05-02,10d,1997.75
2020-05-03,10d,1997.75
2020-05-04,10d,1969.75
2020-05-05,10d,2098.25
2020-05-06,10d,2098.25
2020-05-07,10d,2363.0
2020-05-08,10d,2363.0
2020-05-09,10d,2070.75
2020-05-10,10d,1893.75
2020-05-11,10d,1893.75
2020-05-12,10d,1893.75
2020-05-13,10d,1893.75
2020-05-14,10d,1916.75
2020-05-15,10d,1848.0
2020-05-16,10d,1758.25
2020-05-17,10d,1647.5
2020-05-18,10d,1494.5
2020-05-19,10d,1494.5
2020-05-20,10d,1494.5
2020-05-21,10d,1494.5
2020-05-22,10d,1474.5
2020-05-23,10d,1391.0
2020-05-24,10d,1374.75
2020-05-25,10d,1332.5
2020-05-26,10d,1332.5
2020-05-27,10d,1332.5
2020-05-28,10d,1332.5
2020-05-29,10d,1330.75
2020-05-30,10d,1295.0
2020-05-31,10d,1214.25
2020-06-01,10d,1149.25
2020-06-02,10d,1124.0
2020-06-03,10d,1132.0
2020-06-04,10d,1132.0
2020-06-05,10d,1132.0
2020-06-06,10d,983.0
2020-06-07,10d,951.5
2020-06-08,10d,918.75
2020-06-09,10d,895.5
2020-06-10,10d,895.5
2020-06-11,10d,898.0
2020-06-12,10d,895.5
2020-06-13,10d,887.25
2020-06-14,10d,869.5
2020-06-15,10d,856.75
2020-06-16,10d,856.75
2020-06-17,10d,856.75
2020-06-18,10d,856.75
2020-06-19,10d,770.75
2020-06-20,10d,757.5
2020-06-21,10d,722.75
2020-06-22,10d,700.75
2020-06-23,10d,707.0
2020-06-24,10d,720.0
2020-06-25,10d,727.75
2020-06-26,10d,720.0
2020-06-27,10d,707.0
2020-06-28,10d,694.75
2020-06-29,10d,690.0
2020-06-30,10d,690.0
2020-07-01,10d,706.25
2020-07-02,10d,706.25
2020-07-03,10d,700.0
2020-07-04,10d,681.75
2020-07-05,10d,626.25
2020-07-06,10d,596.75
2020-07-07,10d,672.0
2020-07-08,10d,700.0
2020-07-09,10d,825.5
2020-07-10,10d,863.75
2020-07-11,10d,863.75
2020-07-12,10d,863.75
2020-07-13,10d,863.75
2020-07-14,10d,863.75
2020-07-15,10d,864.75
2020-07-16,10d,889.5
2020-07-17,10d,889.5
2020-07-18,10d,870.75
2020-07-19,10d,868.5
2020-07-20,10d,868.5
2020-07-21,10d,931.25
2020-07-22,10d,968.25
2020-07-23,10d,1022.0
2020-07-24,10d,1038.75
2020-07-25,10d,1038.75
2020-07-26,10d,1038.75
2020-07-27,10d,1054.0
2020-01-22,11d,
2020-01-23,11d,
2020-01-24,11d,
2020-01-25,11d,
2020-01-26,11d,
2020-01-27,11d,
2020-01-28,11d,
2020-01-29,11d,
2020-01-30,11d,
2020-01-31,11d,
2020-02-01,11d,0.0
2020-02-02,11d,0.0
2020-02-03,11d,0.0
2020-02-04,11d,0.0
2020-02-05,11d,0.0
2020-02-06,11d,0.0
2020-02-07,11d,0.0
2020-02-08,11d,0.0
2020-02-09,11d,0.0
2020-02-10,11d,0.0
2020-02-11,11d,0.0
2020-02-12,11d,0.0
2020-02-13,11d,0.0
2020-02-14,11d,0.0
2020-02-15,11d,0.0
2020-02-16,11d,0.0
2020-02-17,11d,0.0
2020-02-18,11d,0.0
2020-02-19,11d,0.0
2020-02-20,11d,0.0
2020-02-21,11d,0.0
2020-02-22,11d,0.0
2020-02-23,11d,0.0
2020-02-24,11d,0.0
2020-02-25,11d,0.0
2020-02-26,11d,0.0
2020-02-27,11d,0.0
2020-02-28,11d,0.0
2020-02-29,11d,0.5
2020-03-01,11d,1.5
2020-03-02,11d,2.0
2020-03-03,11d,2.5
2020-03-04,11d,2.5
2020-03-05,11d,3.0
2020-03-06,11d,3.0
2020-03-07,11d,3.0
2020-03-08,11d,3.5
2020-03-09,11d,4.0
2020-03-10,11d,4.0
2020-03-11,11d,4.0
2020-03-12,11d,5.0
2020-03-13,11d,5.0
2020-03-14,11d,6.0
2020-03-15,11d,7.0
2020-03-16,11d,8.5
2020-03-17,11d,12.0
2020-03-18,11d,18.0
2020-03-19,11d,21.5
2020-03-20,11d,26.5
2020-03-21,11d,38.5
2020-03-22,11d,53.5
2020-03-23,11d,64.5
2020-03-24,11d,82.5
2020-03-25,11d,120.0
2020-03-26,11d,187.0
2020-03-27,11d,231.5
2020-03-28,11d,271.5
2020-03-29,11d,356.0
2020-03-30,11d,458.5
2020-03-31,11d,517.5
2020-04-01,11d,548.0
2020-04-02,11d,719.0
2020-04-03,11d,924.5
2020-04-04,11d,1068.5
2020-04-05,11d,1204.0
2020-04-06,11d,1256.5
2020-04-07,11d,1272.0
2020-04-08,11d,1362.5
2020-04-09,11d,1692.0
2020-04-10,11d,1950.0
2020-04-11,11d,1964.0
2020-04-12,11d,1964.0
2020-04-13,11d,1964.0
2020-04-14,11d,1977.0
2020-04-15,11d,2018.5
2020-04-16,11d,2098.0
2020-04-17,11d,2109.0
2020-04-18,11d,2109.0
2020-04-19,11d,2109.0
2020-04-20,11d,2109.0
2020-04-21,11d,2214.0
2020-04-22,11d,2214.0
2020-04-23,11d,2214.0
2020-04-24,11d,2214.0
2020-04-25,11d,2109.0
2020-04-26,11d,2071.0
2020-04-27,11d,1965.0
2020-04-28,11d,1953.5
2020-04-29,11d,2053.5
2020-04-30,11d,2091.0
2020-05-01,11d,2091.0
2020-05-02,11d,2053.5
2020-05-03,11d,1953.5
2020-05-04,11d,1953.5
2020-05-05,11d,2079.5
2020-05-06,11d,2079.5
2020-05-07,11d,2281.0
2020-05-08,11d,2281.0
2020-05-09,11d,2281.0
2020-05-10,11d,2024.5
2020-05-11,11d,1855.5
2020-05-12,11d,1855.5
2020-05-13,11d,1855.5
2020-05-14,11d,1901.5
2020-05-15,11d,1901.5
2020-05-16,11d,1825.0
2020-05-17,11d,1737.5
2020-05-18,11d,1599.0
2020-05-19,11d,1487.0
2020-05-20,11d,1487.0
2020-05-21,11d,1487.0
2020-05-22,11d,1487.0
2020-05-23,11d,1447.0
2020-05-24,11d,1390.0
2020-05-25,11d,1361.5
2020-05-26,11d,1330.0
2020-05-27,11d,1330.0
2020-05-28,11d,1330.0
2020-05-29,11d,1330.0
2020-05-30,11d,1326.5
2020-05-31,11d,1272.0
2020-06-01,11d,1202.5
2020-06-02,11d,1119.5
2020-06-03,11d,1085.0
2020-06-04,11d,1085.0
2020-06-05,11d,1085.0
2020-06-06,11d,1085.0
2020-06-07,11d,975.0
2020-06-08,11d,944.0
2020-06-09,11d,913.5
2020-06-10,11d,893.0
2020-06-11,11d,898.0
2020-06-12,11d,898.0
2020-06-13,11d,893.0
2020-06-14,11d,886.5
2020-06-15,11d,854.0
2020-06-16,11d,828.5
2020-06-17,11d,828.5
2020-06-18,11d,828.5
2020-06-19,11d,828.5
2020-06-20,11d,769.5
2020-06-21,11d,748.0
2020-06-22,11d,716.5
2020-06-23,11d,706.0
2020-06-24,11d,716.0
2020-06-25,11d,726.5
2020-06-26,11d,726.5
2020-06-27,11d,716.0
2020-06-28,11d,706.0
2020-06-29,11d,681.5
2020-06-30,11d,672.0
2020-07-01,11d,704.5
2020-07-02,11d,704.5
2020-07-03,11d,704.5
2020-07-04,11d,699.0
2020-07-05,11d,666.5
2020-07-06,11d,616.5
2020-07-07,11d,647.0
2020-07-08,11d,699.0
2020-07-09,11d,784.0
2020-07-10,11d,860.5
2020-07-11,11d,860.5
2020-07-12,11d,860.5
2020-07-13,11d,860.5
2020-07-14,11d,860.5
2020-07-15,11d,862.5
2020-07-16,11d,882.0
2020-07-17,11d,909.5
2020-07-18,11d,884.5
2020-07-19,11d,869.5
2020-07-20,11d,865.0
2020-07-21,11d,911.5
2020-07-22,11d,962.5
2020-07-23,11d,1006.0
2020-07-24,11d,1038.5
2020-07-25,11d,1038.5
2020-07-26,11d,1038.5
2020-07-27,11d,1049.0
2020-01-22,12d,
2020-01-23,12d,
2020-01-24,12d,
2020-01-25,12d,
2020-01-26,12d,
2020-01-27,12d,
2020-01-28,12d,
2020-01-29,12d,
2020-01-30,12d,
2020-01-31,12d,
2020-02-01,12d,
2020-02-02,12d,0.0
2020-02-03,12d,0.0
2020-02-04,12d,0.0
2020-02-05,12d,0.0
2020-02-06,12d,0.0
2020-02-07,12d,0.0
2020-02-08,12d,0.0
2020-02-09,12d,0.0
2020-02-10,12d,0.0
2020-02-11,12d,0.0
2020-02-12,12d,0.0
2020-02-13,12d,0.0
2020-02-14,12d,0.0
2020-02-15,12d,0.0
2020-02-16,12d,0.0
2020-02-17,12d,0.0
2020-02-18,12d,0.0
2020-02-19,12d,0.0
2020-02-20,12d,0.0
2020-02-21,12d,0.0
2020-02-22,12d,0.0
2020-02-23,12d,0.0
2020-02-24,12d,0.0
2020-02-25,12d,0.0
2020-02-26,12d,0.0
2020-02-27,12d,0.0
2020-02-28,12d,0.0
2020-02-29,12d,0.25
2020-03-01,12d,1.25
2020-03-02,12d,2.0
2020-03-03,12d,2.25
2020-03-04,12d,2.25
2020-03-05,12d,3.0
2020-03-06,12d,3.0
2020-03-07,12d,3.0
2020-03-08,12d,3.25
2020-03-09,12d,4.0
2020-03-10,12d,4.0
2020-03-11,12d,4.0
2020-03-12,12d,4.5
2020-03-13,12d,4.5
2020-03-14,12d,6.0
2020-03-15,12d,6.5
2020-03-16,12d,8.25
2020-03-17,12d,10.5
2020-03-18,12d,16.5
2020-03-19,12d,21.25
2020-03-20,12d,24.25
2020-03-21,12d,34.75
2020-03-22,12d,49.75
2020-03-23,12d,62.75
2020-03-24,12d,75.25
2020-03-25,12d,108.5
2020-03-26,12d,165.0
2020-03-27,12d,231.25
2020-03-28,12d,251.75
2020-03-29,12d,333.5
2020-03-30,12d,429.75
2020-03-31,12d,516.75
2020-04-01,12d,533.5
2020-04-02,12d,648.0
2020-04-03,12d,892.75
2020-04-04,12d,1028.25
2020-04-05,12d,1176.5
2020-04-06,12d,1255.25
2020-04-07,12d,1265.5
2020-04-08,12d,1323.75
2020-04-09,12d,1566.0
2020-04-10,12d,1947.0
2020-04-11,12d,1960.0
2020-04-12,12d,1960.0
2020-04-13,12d,1960.0
2020-04-14,12d,1974.5
2020-04-15,12d,2000.25
2020-04-16,12d,2076.5
2020-04-17,12d,2093.0
2020-04-18,12d,2093.0
2020-04-19,12d,2093.0
2020-04-20,12d,2093.0
2020-04-21,12d,2177.5
2020-04-22,12d,2177.5
2020-04-23,12d,2177.5
2020-04-24,12d,2177.5
2020-04-25,12d,2177.5
2020-04-26,12d,2093.0
2020-04-27,12d,2068.0
2020-04-28,12d,2047.75
2020-04-29,12d,2047.75
2020-04-30,12d,2078.0
2020-05-01,12d,2078.0
2020-05-02,12d,2078.0
2020-05-03,12d,2047.75
2020-05-04,12d,1909.25
2020-05-05,12d,2060.75
2020-05-06,12d,2060.75
2020-05-07,12d,2199.0
2020-05-08,12d,2199.0
2020-05-09,12d,2199.0
2020-05-10,12d,2199.0
2020-05-11,12d,1978.25
2020-05-12,12d,1817.25
2020-05-13,12d,1817.25
2020-05-14,12d,1886.25
2020-05-15,12d,1886.25
2020-05-16,12d,1886.25
2020-05-17,12d,1802.0
2020-05-18,12d,1716.75
2020-05-19,12d,1550.5
2020-05-20,12d,1479.5
2020-05-21,12d,1479.5
2020-05-22,12d,1479.5
2020-05-23,12d,1479.5
2020-05-24,12d,1419.5
2020-05-25,12d,1389.0
2020-05-26,12d,1348.25
2020-05-27,12d,1327.5
2020-05-28,12d,1327.5
2020-05-29,12d,1327.5
2020-05-30,12d,1327.5
2020-05-31,12d,1322.25
2020-06-01,12d,1249.0
2020-06-02,12d,1190.75
2020-06-03,12d,1089.75
2020-06-04,12d,1038.0
2020-06-05,12d,1038.0
2020-06-06,12d,1038.0
2020-06-07,12d,1038.0
2020-06-08,12d,967.0
2020-06-09,12d,936.5
2020-06-10,12d,905.75
2020-06-11,12d,898.0
2020-06-12,12d,898.0
2020-06-13,12d,898.0
2020-06-14,12d,890.5
2020-06-15,12d,885.75
2020-06-16,12d,838.5
2020-06-17,12d,800.25
2020-06-18,12d,800.25
2020-06-19,12d,800.25
2020-06-20,12d,800.25
2020-06-21,12d,768.25
2020-06-22,12d,738.5
2020-06-23,12d,713.25
2020-06-24,12d,712.0
2020-06-25,12d,725.25
2020-06-26,12d,725.25
2020-06-27,12d,725.25
2020-06-28,12d,712.0
2020-06-29,12d,705.0
2020-06-30,12d,668.25
2020-07-01,12d,702.75
2020-07-02,12d,702.75
2020-07-03,12d,702.75
2020-07-04,12d,702.75
2020-07-05,12d,698.0
2020-07-06,12d,651.25
2020-07-07,12d,651.25
2020-07-08,12d,698.0
2020-07-09,12d,742.5
2020-07-10,12d,857.25
2020-07-11,12d,857.25
2020-07-12,12d,857.25
2020-07-13,12d,857.25
2020-07-14,12d,857.25
2020-07-15,12d,860.25
2020-07-16,12d,874.5
2020-07-17,12d,903.25
2020-07-18,12d,903.25
2020-07-19,12d,878.25
2020-07-20,12d,868.25
2020-07-21,12d,891.75
2020-07-22,12d,956.75
2020-07-23,12d,990.0
2020-07-24,12d,1038.25
2020-07-25,12d,1038.25
2020-07-26,12d,1038.25
2020-07-27,12d,1044.0
2020-01-22,13d,
2020-01-23,13d,
2020-01-24,13d,
2020-01-25,13d,
2020-01-26,13d,
2020-01-27,13d,
2020-01-28,13d,
2020-01-29,13d,
2020-01-30,13d,
2020-01-31,13d,
2020-02-01,13d,
2020-02-02,13d,
2020-02-03,13d,0.0
2020-02-04,13d,0.0
2020-02-05,13d,0.0
2020-02-06,13d,0.0
2020-02-07,13d,0.0
2020-02-08,13d,0.0
2020-02-09,13d,0.0
2020-02-10,13d,0.0
2020-02-11,13d,0.0
2020-02-12,13d,0.0
2020-02-13,13d,0.0
2020-02-14,13d,0.0
2020-02-15,13d,0.0
2020-02-16,13d,0.0
2020-02-17,13d,0.0
2020-02-18,13d,0.0
2020-02-19,13d,0.0
2020-02-20,13d,0.0
2020-02-21,13d,0.0
2020-02-22,13d,0.0
2020-02-23,13d,0.0
2020-02-24,13d,0.0
2020-02-25,13d,0.0
2020-02-26,13d,0.0
2020-02-27,13d,0.0
2020-02-28,13d,0.0
2020-02-29,13d,0.0
2020-03-01,13d,1.0
2020-03-02,13d,2.0
2020-03-03,13d,2.0
2020-03-04,13d,2.0
2020-03-05,13d,3.0
2020-03-06,13d,3.0
2020-03-07,13d,3.0
2020-03-08,13d,3.0
2020-03-09,13d,4.0
2020-03-10,13d,4.0
2020-03-11,13d,4.0
2020-03-12,13d,4.0
2020-03-13,13d,4.0
2020-03-14,13d,6.0
2020-03-15,13d,6.0
2020-03-16,13d,8.0
2020-03-17,13d,9.0
2020-03-18,13d,15.0
2020-03-19,13d,21.0
2020-03-20,13d,22.0
2020-03-21,13d,31.0
2020-03-22,13d,46.0
2020-03-23,13d,61.0
2020-03-24,13d,68.0
2020-03-25,13d,97.0
2020-03-26,13d,143.0
2020-03-27,13d,231.0
2020-03-28,13d,232.0
2020-03-29,13d,311.0
2020-03-30,13d,401.0
2020-03-31,13d,516.0
2020-04-01,13d,519.0
2020-04-02,13d,577.0
2020-04-03,13d,861.0
2020-04-04,13d,988.0
2020-04-05,13d,1149.0
2020-04-06,13d,1254.0
2020-04-07,13d,1259.0
2020-04-08,13d,1285.0
2020-04-09,13d,1440.0
2020-04-10,13d,1944.0
2020-04-11,13d,1956.0
2020-04-12,13d,1956.0
2020-04-13,13d,1956.0
2020-04-14,13d,1972.0
2020-04-15,13d,1982.0
2020-04-16,13d,2055.0
2020-04-17,13d,2077.0
2020-04-18,13d,2077.0
2020-04-19,13d,2077.0
2020-04-20,13d,2077.0
2020-04-21,13d,2141.0
2020-04-22,13d,2141.0
2020-04-23,13d,2141.0
2020-04-24,13d,2141.0
2020-04-25,13d,2141.0
2020-04-26,13d,2141.0
2020-04-27,13d,2077.0
2020-04-28,13d,2065.0
2020-04-29,13d,2065.0
2020-04-30,13d,2065.0
2020-05-01,13d,2065.0
2020-05-02,13d,2065.0
2020-05-03,13d,2065.0
2020-05-04,13d,2042.0
2020-05-05,13d,2042.0
2020-05-06,13d,2042.0
2020-05-07,13d,2117.0
2020-05-08,13d,2117.0
2020-05-09,13d,2117.0
2020-05-10,13d,2117.0
2020-05-11,13d,2117.0
2020-05-12,13d,1932.0
2020-05-13,13d,1779.0
2020-05-14,13d,1871.0
2020-05-15,13d,1871.0
2020-05-16,13d,1871.0
2020-05-17,13d,1871.0
2020-05-18,13d,1779.0
2020-05-19,13d,1696.0
2020-05-20,13d,1502.0
2020-05-21,13d,1472.0
2020-05-22,13d,1472.0
2020-05-23,13d,1472.0
2020-05-24,13d,1472.0
2020-05-25,13d,1392.0
2020-05-26,13d,1388.0
2020-05-27,13d,1335.0
2020-05-28,13d,1325.0
2020-05-29,13d,1325.0
2020-05-30,13d,1325.0
2020-05-31,13d,1325.0
2020-06-01,13d,1318.0
2020-06-02,13d,1226.0
2020-06-03,13d,1179.0
2020-06-04,13d,1060.0
2020-06-05,13d,991.0
2020-06-06,13d,991.0
2020-06-07,13d,991.0
2020-06-08,13d,991.0
2020-06-09,13d,959.0
2020-06-10,13d,929.0
2020-06-11,13d,898.0
2020-06-12,13d,898.0
2020-06-13,13d,898.0
2020-06-14,13d,898.0
2020-06-15,13d,888.0
2020-06-16,13d,885.0
2020-06-17,13d,823.0
2020-06-18,13d,772.0
2020-06-19,13d,772.0
2020-06-20,13d,772.0
2020-06-21,13d,772.0
2020-06-22,13d,767.0
2020-06-23,13d,729.0
2020-06-24,13d,724.0
2020-06-25,13d,724.0
2020-06-26,13d,724.0
2020-06-27,13d,724.0
2020-06-28,13d,724.0
2020-06-29,13d,708.0
2020-06-30,13d,704.0
2020-07-01,13d,701.0
2020-07-02,13d,701.0
2020-07-03,13d,701.0
2020-07-04,13d,701.0
2020-07-05,13d,701.0
2020-07-06,13d,697.0
2020-07-07,13d,697.0
2020-07-08,13d,697.0
2020-07-09,13d,701.0
2020-07-10,13d,854.0
2020-07-11,13d,854.0
2020-07-12,13d,854.0
2020-07-13,13d,854.0
2020-07-14,13d,854.0
2020-07-15,13d,858.0
2020-07-16,13d,867.0
2020-07-17,13d,897.0
2020-07-18,13d,897.0
2020-07-19,13d,897.0
2020-07-20,13d,872.0
2020-07-21,13d,872.0
2020-07-22,13d,951.0
2020-07-23,13d,974.0
2020-07-24,13d,1038.0
2020-07-25,13d,1038.0
2020-07-26,13d,1038.0
2020-07-27,13d,1039.0
2020-01-22,14d,
2020-01-23,14d,
2020-01-24,14d,
2020-01-25,14d,
2020-01-26,14d,
2020-01-27,14d,
2020-01-28,14d,
2020-01-29,14d,
2020-01-30,14d,
2020-01-31,14d,
2020-02-01,14d,
2020-02-02,14d,
2020-02-03,14d,
2020-02-04,14d,0.0
2020-02-05,14d,0.0
2020-02-06,14d,0.0
2020-02-07,14d,0.0
2020-02-08,14d,0.0
2020-02-09,14d,0.0
2020-02-10,14d,0.0
2020-02-11,14d,0.0
2020-02-12,14d,0.0
2020-02-13,14d,0.0
2020-02-14,14d,0.0
2020-02-15,14d,0.0
2020-02-16,14d,0.0
2020-02-17,14d,0.0
2020-02-18,14d,0.0
2020-02-19,14d,0.0
2020-02-20,14d,0.0
2020-02-21,14d,0.0
2020-02-22,14d,0.0
2020-02-23,14d,0.0
2020-02-24,14d,0.0
2020-02-25,14d,0.0
2020-02-26,14d,0.0
2020-02-27,14d,0.0
2020-02-28,14d,0.0
2020-02-29,14d,0.0
2020-03-01,14d,0.75
2020-03-02,14d,1.75
2020-03-03,14d,2.0
2020-03-04,14d,2.0
2020-03-05,14d,2.75
2020-03-06,14d,3.0
2020-03-07,14d,3.0
2020-03-08,14d,3.0
2020-03-09,14d,3.75
2020-03-10,14d,3.75
2020-03-11,14d,4.0
2020-03-12,14d,4.0
2020-03-13,14d,4.0
2020-03-14,14d,5.5
2020-03-15,14d,6.0
2020-03-16,14d,7.5
2020-03-17,14d,8.75
2020-03-18,14d,13.5
2020-03-19,14d,19.5
2020-03-20,14d,21.75
2020-03-21,14d,28.75
2020-03-22,14d,42.25
2020-03-23,14d,57.25
2020-03-24,14d,66.25
2020-03-25,14d,89.75
2020-03-26,14d,131.5
2020-03-27,14d,209.0
2020-03-28,14d,231.75
